segment,index,x,y,yaw
0,278,-1.3250,-12.3684,-0.7098
0,279,-1.2130,-12.4646,-0.4386
0,280,-1.0842,-12.5250,0.0000
0,281,-0.9342,-12.5250,0.0000
0,282,-0.7842,-12.5250,0.7075
0,283,-0.6747,-12.4314,0.8368
0,284,-0.5750,-12.3208,1.5708
0,285,-0.5750,-12.1708,1.5708
0,286,-0.5750,-12.0208,1.5308
0,287,-0.5690,-11.8711,1.4601
0,288,-0.5524,-11.7220,0.5937
0,289,-0.4429,-11.6481,0.0330
0,290,-0.2930,-11.6432,0.0330
0,291,-0.1431,-11.6382,0.0330
0,292,0.0069,-11.6332,0.0330
0,293,0.1568,-11.6283,0.0330
0,294,0.3067,-11.6233,0.0330
0,295,0.4567,-11.6184,0.0330
0,296,0.6066,-11.6134,0.0330
0,297,0.7565,-11.6085,0.0330
0,298,0.9064,-11.6035,0.0283
0,299,1.0564,-11.5993,0.0168
0,300,1.2064,-11.5967,0.0168
0,301,1.3564,-11.5942,0.0168
0,302,1.5063,-11.5917,0.0168
0,303,1.6563,-11.5892,0.0168
0,304,1.8063,-11.5867,0.0168
0,305,1.9563,-11.5841,0.0168
0,306,2.1063,-11.5816,0.0168
0,307,2.2563,-11.5791,0.0168
0,308,2.4063,-11.5766,0.0168
0,309,2.5563,-11.5741,0.0168
0,310,2.7063,-11.5715,0.0168
0,311,2.8562,-11.5690,0.0168
0,312,3.0062,-11.5665,0.0168
0,313,3.1562,-11.5640,0.0168
0,314,3.3062,-11.5615,0.0168
0,315,3.4562,-11.5589,0.0168
0,316,3.6062,-11.5564,0.0168
0,317,3.7562,-11.5539,0.0168
0,318,3.9062,-11.5514,0.0053
0,319,4.0562,-11.5506,-0.0083
0,320,4.2062,-11.5518,-0.0083
0,321,4.3562,-11.5530,-0.0083
0,322,4.5062,-11.5543,-0.0083
0,323,4.6562,-11.5555,-0.0083
0,324,4.8062,-11.5568,-0.0083
0,325,4.9562,-11.5580,-0.0083
0,326,5.1062,-11.5592,-0.0083
0,327,5.2562,-11.5605,-0.0083
0,328,5.4062,-11.5617,-0.3634
0,329,5.5312,-11.6093,-0.2854
0,330,5.6655,-11.6487,-0.0965
0,331,5.8148,-11.6631,-0.0793
0,332,5.9643,-11.6750,0.0000
0,333,6.1143,-11.6750,0.0000
0,334,6.2643,-11.6750,0.0000
0,335,6.4143,-11.6750,0.0000
0,336,6.5643,-11.6750,0.0443
0,337,6.7139,-11.6684,0.1283
0,338,6.8627,-11.6492,0.1283
0,339,7.0114,-11.6300,0.8689
0,340,7.0997,-11.5256,0.0447
0,341,7.2492,-11.5189,0.0408
0,342,7.3991,-11.5128,0.0408
0,343,7.5490,-11.5067,0.0408
0,344,7.6989,-11.5006,0.0408
0,345,7.8488,-11.4944,0.0408
0,346,7.9986,-11.4883,0.0408
0,347,8.1485,-11.4822,0.0408
0,348,8.2984,-11.4761,0.0072
0,349,8.4484,-11.4750,0.0000
0,350,8.5984,-11.4750,0.0000
0,351,8.7484,-11.4750,0.0000
0,352,8.8984,-11.4750,0.0000
0,353,9.0484,-11.4750,0.0000
0,354,9.1984,-11.4750,0.0000
0,355,9.3485,-11.4750,0.0000
0,356,9.4985,-11.4750,0.0000
0,357,9.6485,-11.4750,0.0000
